reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
bcbd9fcc-7f86-4df4-9251-45c0f91fa528,Stefanus Hului,https://play-lh.googleusercontent.com/a-/ALV-UjVOs22yt_Jl9CVR-xNYDOpDVBjyUbhkHKp8Ky4NOCwxJBROsGu9,Sukses dan makin berkembang selalu.,5,0,,2024-04-28 18:13:15,"Toppers, terima kasih atas rating yang kamu berikan serta kepercayaan kamu dalam memilih Tokopedia sebagai tempat berbelanja online. Jika kamu punya kritik/saran, atau ada kendala pada aplikasi Tokopedia, silakan info melalui Tokopedia Care",2024-04-28 18:20:01,
5926d38f-6175-4f3e-8ef6-f3c8b10a5acb,egi putra,https://play-lh.googleusercontent.com/a-/ALV-UjXjKH9L1-mco0Hhki1sm6eGC6jfI1hiwVtKeBN5VFh1BvszNhVY,nice🥰,5,0,3.260.2,2024-04-28 17:49:37,"Terima kasih sudah mempercayakan Tokopedia sebagai tempat bertransaksi online pilihan Toppers. Jika ada kritik/saran, atau kendala pada aplikasi Tokopedia, silakan hubungi Tokopedia Care melalui Tokopedia Care ya. Yuk transaksi lagi karena semua Ada dan Bisa di Tokopedia!",2024-04-28 18:00:01,3.260.2
3925748d-89ab-4d7a-9f3b-d4b6e0943918,Cet Cak,https://play-lh.googleusercontent.com/a-/ALV-UjW2oY28WbZuygMeZ2g6vk7cV2x4Tbw9uyy3VzVY2C3WvNJAZasE,TikTodPedia sekarang pelit gak kayak dulu,1,1,,2024-04-28 17:39:31,"Toppers, mohon maaf atas kendala yang kamu alami. Silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care di tkp.me/supportMainapps untuk dicek lebih lanjut. Kami akan terus meningkatkan performa aplikasi, fitur serta layanan agar bisa memberikan pengalaman bertransaksi yang lebih baik lagi untuk semua pengguna.",2024-04-28 17:40:01,
345b73c6-1341-4076-bd16-5a06c6905431,Raffy Juna,https://play-lh.googleusercontent.com/a/ACg8ocL7GtitL6MqzYwOdRqe4xG89njfppN1GJgvLW2kLiHeuNJ7LQ=mo,ok,5,0,3.260.2,2024-04-28 16:47:30,"Toppers, terima kasih atas rating yang kamu berikan serta kepercayaan kamu dalam memilih Tokopedia sebagai tempat berbelanja online. Jika kamu punya kritik/saran, atau ada kendala pada aplikasi Tokopedia, silakan info melalui Tokopedia Care",2024-04-28 17:00:01,3.260.2
0312bf15-4984-40fe-a29d-6f944458fc01,Nuramalia,https://play-lh.googleusercontent.com/a-/ALV-UjWs5O1cyBoaMepWhiYn9IJkXn95BaDP3BzWq4nBCNH47opiMsw,"menurut sya kekurangannya dri ekspedisi yg gak fleksibel saat pake gratis ongkir, sdh diset sistem hanya 1 yg bisa pake, apalagi ekspedisinya yg pya reputasi jelek, boleh beda tapi bisa menguntungkan semuanya, saya rasa bkn sya aja yg ngerasa demikian...",4,0,3.260.2,2024-04-28 16:32:08,"Toppers, terima kasih atas rating yang kamu berikan serta kepercayaan kamu dalam memilih Tokopedia sebagai tempat berbelanja online. Jika kamu punya kritik/saran, atau ada kendala pada aplikasi Tokopedia, silakan info melalui Tokopedia Care",2024-04-28 16:40:03,3.260.2
ac63ef17-b1a4-406c-a21c-7057d3ec3077,Asep Rahmat,https://play-lh.googleusercontent.com/a-/ALV-UjUmjYVzPR79lo9jUbJ_ME6hcCN45EUvlXNbOcmkPvDSpuyZ7p8,Banyak promo dan cashback.,5,0,3.260.2,2024-04-28 16:14:13,"Toppers, terima kasih atas rating yang kamu berikan serta kepercayaan kamu dalam memilih Tokopedia sebagai tempat berbelanja online. Jika kamu punya kritik/saran, atau ada kendala pada aplikasi Tokopedia, silakan info melalui Tokopedia Care",2024-04-28 16:20:01,3.260.2
1350bc8f-0141-463c-b31a-af42d3282749,Legia Warsawa,https://play-lh.googleusercontent.com/a/ACg8ocIRJCMeVLFmSEiAiAqPrQorDB94T80CCIXIOoi6vMzggQHJCg=mo,Parah! Beli paket data ga masuk-masuk. Status masih aja diproses!!!!! Biasanya cepet ini malah lemot!!!!!,1,0,3.260.2,2024-04-28 15:54:39,"Hi Toppers, silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care melalui Di Mana Saya Dapat Menghubungi Tokopedia? | Tokopedia Care agar bisa kami bantu cek lebih lanjut. Kami akan terus berupaya untuk meningkatkan pengalaman Toppers dalam bertransaksi di Tokopedia.",2024-04-28 16:00:03,3.260.2
f6a8d13e-ae54-46fb-81c2-cee2eba5df76,Dalil Dalil,https://play-lh.googleusercontent.com/a/ACg8ocJ8ilnWXFUo1FhBFaX4IC_n447y1TSmN4w1q9dZSbTbpv6bsw=mo,"kurir lelet komplain ke tokped care juga lelet,samapi sekarang hampir 1 bulan paket saya gak sampe2",2,0,3.260.2,2024-04-28 15:44:07,"Toppers, mohon maaf atas kendala yang kamu alami. Silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care di tkp.me/supportMainapps untuk dicek lebih lanjut. Kami akan terus meningkatkan performa aplikasi, fitur serta layanan agar bisa memberikan pengalaman bertransaksi yang lebih baik lagi untuk semua pengguna.",2024-04-28 16:00:04,3.260.2
1d91f569-a1a2-424a-bb83-fc45995b9330,Miftahul Huda,https://play-lh.googleusercontent.com/a-/ALV-UjWsXlL5sJ658DV8Z-1x3ZeI6GdNIMZpeQ_FNjS1WUSDhwpLjaU,sangat membantu,5,0,3.260.2,2024-04-28 15:24:23,"Toppers, terima kasih atas rating yang kamu berikan serta kepercayaan kamu dalam memilih Tokopedia sebagai tempat berbelanja online. Jika kamu punya kritik/saran, atau ada kendala pada aplikasi Tokopedia, silakan info melalui Tokopedia Care",2024-04-28 15:40:04,3.260.2
a39191e3-5ec2-4742-a1d7-feb485aa8636,Dek Ardi,https://play-lh.googleusercontent.com/a/ACg8ocJGp2gVkEuY3Dg6GVyrWnpuWsnqEcGwvX6xvF9Bm0ttham-PQ=mo,Mengecewakan banget,1,0,3.260.2,2024-04-28 15:00:06,"Halo Toppers, terima kasih atas rating yang kamu berikan. Kami akan terus melakukan perkembangan pada aplikasi Tokopedia untuk terus memberikan keamanan dan kenyamanan Toppers dalam bertransaksi.Silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care melalui tkp.me/supportMainapps.",2024-04-28 15:20:01,3.260.2
